Server_ID,Timestamp,CPU_Usage_Pct,Memory_Usage_GB,Cost_USD,Subscription_Type_Enterprise,Subscription_Type_Free-Tier,Subscription_Type_Pay-As-You-Go,Subscription_Type_Student,Status_Active,Status_Idle
MS-SRV-963,2026-01-01 00:00:00,45.04699977367525,95.0,0.0,True,False,False,False,True,False
MS-SRV-623,2026-01-01 01:00:00,63.46138093270383,20.0,33.12122124625553,True,False,False,False,True,False
MS-SRV-437,2026-01-01 02:00:00,64.0893708541131,86.0,490.1319125510341,False,True,False,False,True,False
MS-SRV-938,2026-01-01 03:00:00,20.793071745422395,79.0,422.7430308303368,False,False,False,True,True,False
MS-SRV-675,2026-01-01 04:00:00,17.95730476338459,83.0,129.78113888322954,False,False,True,False,True,False
MS-SRV-699,2026-01-01 05:00:00,21.460099435371312,63.0,179.75400997503812,False,False,True,False,True,False
MS-SRV-175,2026-01-01 06:00:00,45.23938036754706,11.0,381.2430296991217,False,False,True,False,True,False
MS-SRV-493,2026-01-01 07:00:00,65.39639102791891,54.0,331.5341458657467,True,False,False,False,True,False
MS-SRV-652,2026-01-01 08:00:00,47.76681749970732,23.0,437.04867587283474,False,False,True,False,True,False
MS-SRV-744,2026-01-01 09:00:00,85.30569928976792,76.0,97.6968941607733,False,False,True,False,True,False
MS-SRV-675,2026-01-01 10:00:00,84.52117870588698,110.0,314.57349674264475,False,False,True,False,True,False
MS-SRV-857,2026-01-01 11:00:00,87.74174513760472,62.0,337.7650484369315,True,False,False,False,True,False
MS-SRV-416,2026-01-01 12:00:00,48.05066707902227,121.0,330.4684712025833,False,False,True,False,True,False
MS-SRV-832,2026-01-01 13:00:00,24.429008860115577,34.0,306.9586834633141,False,False,True,False,True,False
MS-SRV-804,2026-01-01 14:00:00,58.177105842722966,18.0,147.6872728978586,False,False,True,False,True,False
MS-SRV-210,2026-01-01 15:00:00,67.93992161856173,25.0,252.52727602111196,False,True,False,False,True,False
MS-SRV-105,2026-01-01 16:00:00,21.14896348707368,86.0,255.14494665088623,False,False,True,False,True,False
MS-SRV-577,2026-01-01 17:00:00,67.31837664923202,29.0,278.6303629934024,True,False,False,False,True,False
MS-SRV-140,2026-01-01 18:00:00,31.83266502525754,75.0,412.0822964051341,False,False,True,False,False,True
MS-SRV-149,2026-01-01 19:00:00,41.44621150191277,106.0,312.9139231567709,False,False,True,False,True,False
MS-SRV-951,2026-01-01 20:00:00,25.727518328594524,68.0,0.0,False,False,True,False,True,False
MS-SRV-723,2026-01-01 21:00:00,34.990871818107635,63.0,59.69762169769157,False,False,True,False,True,False
MS-SRV-606,2026-01-01 22:00:00,20.99370460985501,105.0,496.3901031958098,False,True,False,False,True,False
MS-SRV-236,2026-01-01 23:00:00,31.133874049401147,113.0,237.85830250611752,True,False,False,False,True,False
MS-SRV-471,2026-01-02 00:00:00,67.74833151806946,115.0,452.9746132117809,False,False,True,False,True,False
MS-SRV-983,2026-01-02 01:00:00,34.26531358693924,54.0,147.975563633712,False,False,True,False,False,True
MS-SRV-159,2026-01-02 02:00:00,46.21670995876757,68.0,240.6229174150754,False,False,True,False,True,False
MS-SRV-518,2026-01-02 03:00:00,27.2472016482368,100.0,282.32976825464374,False,True,False,False,True,False
MS-SRV-656,2026-01-02 04:00:00,41.85911583128234,126.0,0.0,True,False,False,False,True,False
MS-SRV-349,2026-01-02 06:00:00,70.1743254262141,33.0,107.75649426023598,True,False,False,False,True,False
MS-SRV-375,2026-01-02 07:00:00,53.18216054266605,79.0,237.3567355882122,True,False,False,False,True,False
MS-SRV-738,2026-01-02 08:00:00,74.47862460011554,15.0,170.90603297787757,False,False,True,False,True,False
MS-SRV-176,2026-01-02 09:00:00,46.647522799092144,61.0,97.33499782206286,False,False,True,False,False,True
MS-SRV-835,2026-01-02 10:00:00,83.37906194704657,65.0,392.4953194235678,False,False,True,False,True,False
MS-SRV-719,2026-01-02 11:00:00,83.09249368412421,118.0,102.1281079927126,False,False,True,False,True,False
MS-SRV-443,2026-01-02 12:00:00,29.08655475174338,83.0,114.15666933889533,False,False,True,False,True,False
MS-SRV-996,2026-01-02 13:00:00,77.45717231555764,68.0,328.3048998059673,False,True,False,False,True,False
MS-SRV-205,2026-01-02 14:00:00,76.05655339399368,47.0,256.6295606612801,False,False,True,False,True,False
MS-SRV-603,2026-01-02 15:00:00,69.54581248742842,63.0,182.65840376701348,False,True,False,False,True,False
MS-SRV-339,2026-01-02 17:00:00,52.02086715752357,90.0,347.78376084027366,True,False,False,False,True,False
MS-SRV-364,2026-01-02 18:00:00,77.17355406995141,51.0,282.78808607081925,False,False,False,True,True,False
MS-SRV-674,2026-01-02 19:00:00,36.26687771290531,4.0,85.47164741375192,False,False,False,True,True,False
MS-SRV-776,2026-01-02 20:00:00,29.13166401125307,67.0,81.00820461031567,False,False,True,False,True,False
MS-SRV-199,2026-01-02 21:00:00,44.68476570867133,90.0,258.53973295913977,False,False,True,False,True,False
MS-SRV-384,2026-01-02 22:00:00,33.172397220695245,122.0,447.5637193335496,True,False,False,False,True,False
